Station 501;;
1 jan 2015 - 22 nov 2015;;
per uur;;
;;
timestamp;evenrate;pressure
;[events/hour];[hPa]
1423656000;2247;1024
1423659600;2223;1024
1423663200;2301;1023
1423666800;2273;1023
1423670400;2263;1022
1423674000;2222;1022
1423677600;2211;1022
1423681200;2264;1022
1423684800;2258;1022
1423688400;2215;1022
1423692000;2257;1022
1423695600;2282;1021
1423699200;2246;1021
1423702800;2300;1021
1423706400;2310;1021
1423710000;2322;1020
1423713600;2258;1020
1423717200;2246;1020
1423720800;2273;1020
1423724400;2316;1020
1423728000;2292;1020
1423731600;2355;1020
1423735200;2369;1020
1423738800;2246;1020
1423742400;2256;1020
1423746000;2273;1020
1423749600;2280;1019
1423753200;2338;1019
1423756800;2178;1018
1423760400;2332;1018
1423764000;2339;1018
1423767600;2264;1018
1423771200;2293;1018
1423774800;2358;1018
1423778400;2351;1018
1423782000;2389;1017
1423785600;2319;1017
1423789200;2388;1016
1423792800;2379;1016
1423796400;2406;1015
1423800000;2470;1014
1423803600;2417;1014
1423807200;2409;1014
1423810800;2395;1014
1423814400;2541;1013
1423818000;2360;1013
1423821600;2370;1012
1423825200;2496;1011
1423828800;2291;1010
1423832400;2463;1009
1423836000;2447;1008
1423839600;2380;1007
1423843200;2424;1007
1423846800;2550;1006
1423850400;2486;1007
1423854000;2441;1006
1423857600;2458;1006
1423861200;2454;1005
1423864800;2499;1005
1423868400;2519;1005
1423872000;2560;1005
1423875600;2524;1005
1423879200;2448;1004
1423882800;2496;1004
1423886400;2499;1004
1423890000;2533;1004
1423893600;2414;1004
1423897200;2469;1005
1423900800;2504;1005
1423904400;2517;1006
1423908000;2478;1006
1423911600;2494;1006
1423915200;2557;1006
1423918800;2450;1006
1423922400;2416;1006
1423926000;2389;1006
1423929600;2519;1006
1423933200;2349;1006
1423936800;2497;1006
1423940400;2377;1006
1423944000;2456;1006
1423947600;2394;1006
1423951200;2409;1006
1424214000;2022;1038
1424217600;2135;1038
1424221200;2066;1038
1424224800;2007;1038
1424228400;2072;1038
1424232000;2060;1038
1424235600;2057;1038
1424239200;2056;1038
1424242800;2022;1038
1424246400;2032;1038
1424250000;2044;1038
1424253600;2020;1038
1424257200;2081;1037
1424260800;2003;1037
1424264400;2067;1036
1424268000;2072;1035
1424271600;2088;1034
1424275200;2105;1034
1424278800;2264;1034
1424282400;2082;1033
1424286000;2123;1033
1424289600;2158;1033
1424293200;2174;1032
1424296800;2142;1032
1424300400;2172;1031
1424304000;2110;1031
1424307600;2193;1030
1424311200;2269;1029
1424314800;2195;1028
1424318400;2310;1027
1424322000;2279;1027
1424325600;2285;1026
1424329200;2262;1026
1424332800;2153;1026
1424336400;2211;1025
1424340000;2248;1024
1424343600;2266;1023
1424347200;2214;1023
1424350800;2268;1022
1424354400;2189;1021
1424358000;2200;1020
1424361600;2226;1019
1424365200;2293;1019
1424368800;2256;1019
1424372400;2327;1018
1424376000;2358;1017
1424379600;2264;1017
1424383200;2357;1016
1424386800;2437;1014
1424390400;2400;1014
1424394000;2505;1013
1424397600;2499;1012
1424401200;2473;1011
1424404800;2476;1009
1424408400;2476;1008
1424412000;2507;1007
1424415600;2495;1007
1424419200;2492;1007
1424422800;2540;1007
1424426400;2461;1007
1424430000;2493;1006
1424433600;2483;1005
1424437200;2544;1004
1424440800;2621;1003
1424444400;2637;1002
1424448000;2621;1001
1424451600;2665;1000
1424455200;2729;1000
1424458800;2664;999
1424462400;2645;998
1424466000;2754;997
1424469600;2789;996
1424473200;2785;994
1424476800;2671;994
1424480400;2617;994
1424484000;2685;994
1424487600;2616;993
1424491200;2690;994
1424494800;2799;994
1424498400;2535;994
1424502000;2652;995
1424505600;2604;995
1424509200;2610;995
1424512800;2719;996
1424516400;2563;996
1424520000;2635;996
1424523600;2594;996
1424527200;2644;997
1424530800;2597;997
1424534400;2584;997
1424538000;2482;998
1424541600;2612;999
1424545200;2548;1000
1424548800;2630;1000
1424552400;2582;1001
1424556000;2464;1001
1424559600;2568;1003
1424563200;2629;1003
1424566800;2603;1003
1424570400;2549;1004
1424574000;2581;1004
1424577600;2585;1005
1424581200;2458;1005
1424584800;2631;1006
1424588400;2570;1006
1424592000;2482;1007
1424595600;2432;1007
1424599200;2355;1007
1424602800;2424;1007
1424606400;2330;1007
1424610000;2421;1006
1424613600;2407;1005
1424617200;2429;1005
1424620800;2573;1003
1424624400;2485;1002
1424628000;2534;1001
1424631600;2525;1000
1424635200;2605;998
1424638800;2573;997
1424642400;2574;995
1424646000;2679;992
1424649600;2836;992
1424653200;2679;991
1424656800;2724;990
1424660400;2747;989
1424664000;2767;989
1424667600;2685;989
1424671200;2699;990
1424674800;2766;990
1424678400;2742;990
1424682000;2747;990
1424685600;2711;990
1424689200;2640;990
1424692800;2640;990
1424696400;2599;990
1424700000;2653;990
1424703600;2707;990
1424707200;2670;990
1424710800;2695;990
1424714400;2684;991
1424718000;2666;991
1424721600;2675;991
1424725200;2588;991
1424728800;2666;992
1424732400;2597;992
1424736000;2657;992
1424739600;2639;992
1424743200;2640;992
1424746800;2675;992
1424750400;2673;992
1424754000;2612;993
1424757600;2686;993
1424761200;2727;994
1424764800;2594;995
1424768400;2648;997
1424772000;2597;998
1424775600;2539;1000
1424779200;2483;1001
1424782800;2534;1001
1424786400;2535;1002
